id,pokemon,species_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,color_1,color_2,color_f,egg_group_1,egg_group_2,url_icon,generation_id,url_image
1,bulbasaur,1,0.7,6.9,64,grass,poison,45,49,49,65,65,45,#78C850,#A040A0,#81A763,monster,plant,//archives.bulbagarden.net/media/upload/7/7b/001MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/001.png
17,pidgeotto,17,1.1,30,122,normal,flying,63,60,55,50,50,71,#A8A878,#A890F0,#A8A295,flying,NA,//archives.bulbagarden.net/media/upload/c/c3/017MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/017.png
34,nidoking,34,1.4,62,227,poison,ground,81,102,77,85,75,85,#A040A0,#E0C068,#AF5F92,monster,ground,//archives.bulbagarden.net/media/upload/e/ec/034MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/034.png
54,psyduck,54,0.8,19.6,64,water,NA,50,52,48,65,50,55,#6890F0,NA,NA,water1,ground,//archives.bulbagarden.net/media/upload/a/a2/054MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/054.png
75,graveler,75,1,105,137,rock,ground,55,95,115,45,45,35,#B8A038,#E0C068,#C1A743,mineral,NA,//archives.bulbagarden.net/media/upload/0/0f/075MS6.png,1,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/075.png
154,meganium,154,1.8,100.5,236,grass,NA,80,82,100,83,100,80,#78C850,NA,NA,monster,plant,//archives.bulbagarden.net/media/upload/2/23/154MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/154.png
172,pichu,172,0.3,2,41,electric,NA,20,40,15,35,35,60,#F8D030,NA,NA,no-eggs,NA,//archives.bulbagarden.net/media/upload/5/55/172MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/172.png
196,espeon,196,0.9,26.5,184,psychic,NA,65,65,60,130,95,110,#F85888,NA,NA,ground,NA,//archives.bulbagarden.net/media/upload/6/65/196MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/196.png
212,scizor,212,1.8,118,175,bug,steel,70,130,100,55,80,65,#A8B820,#B8B8D0,#ABB84A,bug,NA,//archives.bulbagarden.net/media/upload/9/9b/212MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/212.png
226,mantine,226,2.1,220,170,water,flying,85,40,70,80,140,70,#6890F0,#A890F0,#7790F0,water1,NA,//archives.bulbagarden.net/media/upload/8/8b/226MS6.png,2,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/226.png
253,grovyle,253,0.9,21.6,142,grass,NA,50,65,45,85,65,95,#78C850,NA,NA,monster,dragon,//archives.bulbagarden.net/media/upload/b/b7/253MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/253.png
267,beautifly,267,1,28.4,178,bug,flying,60,70,50,100,50,65,#A8B820,#A890F0,#A8AE52,bug,NA,//archives.bulbagarden.net/media/upload/0/0e/267MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/267.png
284,masquerain,284,0.8,3.6,159,bug,flying,70,60,62,100,82,80,#A8B820,#A890F0,#A8AE52,water1,bug,//archives.bulbagarden.net/media/upload/d/d5/284MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/284.png
303,mawile,303,0.6,11.5,133,steel,fairy,50,85,85,55,55,50,#B8B8D0,#EE99AC,#C5B0C7,ground,fairy,//archives.bulbagarden.net/media/upload/0/09/303MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/303.png
319,sharpedo,319,1.8,88.8,161,water,dark,70,120,40,95,40,95,#6890F0,#705848,#6982C7,water2,NA,//archives.bulbagarden.net/media/upload/2/23/319MS6.png,3,https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/319.png
